epoch,train_mae,val_mae,val_mse,val_rmse,val_pearson_r,lr,elapsed_s
1,0.9024560421427045,nan,nan,nan,nan,0.001,4264.310200452805
2,0.8292619187467435,nan,nan,nan,nan,0.001,8343.280889987946
3,0.7973435527733076,0.7768387328320687,3.383681173444888,1.3297273559034417,0.53512971062179,0.001,12967.946201324463
4,0.768599162076012,0.7768387328320687,3.383681173444888,1.3297273559034417,0.53512971062179,0.001,16970.17690396309
5,0.7257773298922331,0.7768387328320687,3.383681173444888,1.3297273559034417,0.53512971062179,0.001,20966.075170516968
6,0.6740130431245895,0.703273959936352,2.3664899341283587,1.1599731541008031,0.6013038826918383,0.001,25931.682121753693
7,0.6362407982801473,0.703273959936352,2.3664899341283587,1.1599731541008031,0.6013038826918383,0.001,30320.375428438187
8,0.5933967877609727,0.703273959936352,2.3664899341283587,1.1599731541008031,0.6013038826918383,0.001,44260.001430511475
9,0.5704267597740978,0.5022113835866299,0.855761894563196,0.7650872918717359,0.7039505845157925,0.001,49011.25571680069
10,0.5496299713328394,0.5022113835866299,0.855761894563196,0.7650872918717359,0.7039505845157925,0.001,52059.82991552353
11,0.5349289373067602,0.5022113835866299,0.855761894563196,0.7650872918717359,0.7039505845157925,0.001,55049.89186692238
12,0.5290914094434179,0.47338227859330834,0.6723152858401658,0.7163398824973938,0.7220723477252032,0.001,58552.90250110626
13,0.510019157772999,0.47338227859330834,0.6723152858401658,0.7163398824973938,0.7220723477252032,0.001,61681.2584438324
14,0.49734025958886363,0.47338227859330834,0.6723152858401658,0.7163398824973938,0.7220723477252032,0.001,64740.33760428429
15,0.49592871242392994,0.545411561470513,0.8364225051476868,0.8050591449398513,0.7265934424662809,0.001,68303.73513674736
16,0.48427639571273895,0.545411561470513,0.8364225051476868,0.8050591449398513,0.7265934424662809,0.001,72002.70847296715
17,0.4784057340655332,0.545411561470513,0.8364225051476868,0.8050591449398513,0.7265934424662809,0.001,75092.46318674088
18,0.4708490365792322,0.4338783286853668,0.5162795562673053,0.6470455605229106,0.7451428352692805,0.001,78830.91264414787
19,0.46238642944894565,0.4338783286853668,0.5162795562673053,0.6470455605229106,0.7451428352692805,0.001,82340.67150497437
20,0.459354942014643,0.4338783286853668,0.5162795562673053,0.6470455605229106,0.7451428352692805,0.001,85908.36385798454
21,0.44704388290678465,0.440425003203777,0.5610496044979183,0.6558111489092538,0.7572459789044267,0.001,89895.34422421455
22,0.44432478437206707,0.440425003203777,0.5610496044979183,0.6558111489092538,0.7572459789044267,0.001,93753.4794242382
23,0.43749744195573664,0.440425003203777,0.5610496044979183,0.6558111489092538,0.7572459789044267,0.001,97315.53823161125
24,0.43539730637674434,0.4222297524913735,0.487394657156883,0.6209041387389559,0.7704206184236282,0.001,101134.81649875641
