epoch,loss,train_l1,val_l1,elapsed_s
1,l1,0.6209577201026502,nan,339.1418352127075
2,l1,0.5914953420362851,nan,476.2225410938263
3,l1,0.585292043514771,nan,613.0780272483826
4,l1,0.5745785544709404,nan,749.6045017242432
5,l1,0.567041867587826,nan,885.1088736057281
6,l1,0.5623979658478557,0.5502894736569504,1047.0085263252258
7,l1,0.5541177375776933,0.5552406742654997,1214.4185829162598
8,l1,0.5511308632569738,0.553153463478746,1382.0662398338318
9,l1,0.549130112227827,0.5672075779273592,1551.9183514118195
10,l1,0.5443633886257021,0.5360656442313358,1743.6408550739288
11,l1,0.5405976570183688,0.5511852461716225,1902.9209206104279
12,l1,0.539084919903538,0.5371989073424503,2088.7782130241394
13,l1,0.5364847079952164,0.5297860441536739,2242.956434249878
14,l1,0.5338605890179625,0.5249392513571114,2403.7603573799133
15,l1,0.5297512273387154,0.5803047305551069,2591.330397605896
16,l1,0.5297314983488309,0.523093137247809,2821.7530012130737
17,l1,0.5264564454555511,0.5189912216416721,3056.032462120056
18,l1,0.5233894564432673,0.5271931896949636,3298.0890443325043
19,l1,0.5180150276363487,0.5195080072715365,3616.5390796661377
20,l1,0.5209803618121855,0.5197843066577253,3797.0467953681946
21,l1,0.5179830904644315,0.5171796854200035,3954.2364892959595
22,l1,0.5174180664638481,0.5151802712473376,4128.6930103302
23,l1,0.5111916662737874,0.5195608570657927,4309.632727622986
24,l1,0.5084546549190389,0.5132734405583349,4481.663439750671
25,l1,0.5054995211044161,0.5168060650085581,4662.0135271549225
26,l1,0.5050361596121646,0.5059635711127314,4822.485155105591
27,l1,0.4994443126834265,0.5116620546784895,4984.019894123077
28,l1,0.49879872400571806,0.5218167901039124,5136.443195104599
29,l1,0.4961781485541032,0.5029890506431974,5287.592303991318
30,l1,0.48982357668994675,0.49830988357807027,5438.788502693176
31,l1,0.4893534540539921,0.5089089109979826,5591.373950481415
32,l1,0.4848408145774709,0.4897648445491133,5742.735532045364
33,l1,0.4826391706667324,0.4901140959098421,5897.249157905579
34,l1,0.48061969846782115,0.49934166464312324,6048.953853368759
35,l1,0.4754398010744907,0.5325439962847479,6198.438918828964
36,l1,0.4724449646649974,0.4908417874369128,6348.08052444458
37,l1,0.4697330253254069,0.4850888231704975,6504.563794851303
38,l1,0.46910541703795444,0.47510024699671516,6669.934839487076
39,l1,0.4655305843542118,0.4751399015558177,6840.241306066513
40,l1,0.46135939687195393,0.49038631443319647,6999.339896678925
41,l1,0.45723774232486686,0.47971644586530227,7165.243625402451
42,l1,0.4532090217465221,0.4766223615613477,7336.353014469147
43,l1,0.4478608566050482,0.49046571295836877,7518.26016497612
44,l1,0.4462608349795389,0.4780880469700386,7712.251682519913
45,l1,0.4253576378716101,0.4796863794326782,7904.195820808411
46,l1,0.4199480404063026,0.4689770587559404,8102.292614936829
47,l1,0.4139075764630101,0.4705194286231337,8314.859139204025
48,l1,0.40843018196006814,0.473064675413329,8529.585844516754
49,l1,0.40423245064102775,0.47700049548313533,8713.052883386612
50,l1,0.3997148930436314,0.47532747840059214,8916.466260194778
51,l1,0.3908519294887486,0.4756656278823984,9123.56478190422
52,l1,0.3871481434838607,0.4795121519730009,9332.766103029251
53,l1,0.3746844528630228,0.4805009262315158,9540.948780059814
54,l1,0.369834977506411,0.4742014140918337,9749.30049586296
