iter,io_loss,lncc,mean_phi_px,mean_error_map_px,neg_jac_pct
0,0.9388505220413208,0.4522300362586975,5.930575370788574,0.0,0.006585663011623695
50,0.7965872287750244,0.4890466332435608,6.857989311218262,3.1776247024536133,0.049392472587177716
100,0.7760802507400513,0.5003809928894043,6.97071647644043,3.3916640281677246,0.08561361915110804
150,0.7647474408149719,0.5066694617271423,7.003034591674805,3.4722201824188232,0.10866343969179097
200,0.7573871612548828,0.5113072395324707,7.025666236877441,3.533245325088501,0.18110573281965162
250,0.752303957939148,0.5143896341323853,7.071110248565674,3.5983963012695312,0.194277058842899
