iter,io_loss,lncc,mean_phi_px,mean_error_map_px,err_map_p50_px,err_map_p95_px,err_map_max_px,neg_jac_pct
0,0.8702183365821838,0.46035149693489075,5.228375434875488,0.0,0.0,0.0,0.0,0.0032928315058118477
50,0.7440577149391174,0.4996037781238556,5.9313178062438965,4.473069190979004,2.9869112968444824,13.576118469238281,27.77979278564453,0.04609964108136587
100,0.7247763872146606,0.5116511583328247,6.139633655548096,4.7540435791015625,3.2307677268981934,14.026339530944824,28.14877700805664,0.049392472587177716
150,0.7153969407081604,0.5167566537857056,6.24748420715332,4.891251564025879,3.390207052230835,14.204900741577148,28.28582000732422,0.059270967104613256
200,0.7097306847572327,0.5194491744041443,6.294273376464844,4.963949680328369,3.500298261642456,14.278234481811523,28.347448348999023,0.0625637986104251
250,0.7056151032447815,0.5214138031005859,6.348048210144043,5.018562316894531,3.587947368621826,14.362975120544434,28.48653221130371,0.07244229312786064
