epoch,train_mse,train_smooth,train_total,val_mse,val_l1,elapsed_s
1,0.9352698410415176,0.018237019163410806,0.9361816916808893,0.834467273333977,0.6329269203646429,1202.1751368045807
2,0.8743653227910214,0.016120046277810118,0.875171324603315,0.8502029817679833,0.6075340458031359,2236.9696056842804
3,0.8593877221899057,0.015417798128783258,0.8601586116158932,0.8642046682793518,0.6019069177323374,3452.9191036224365
4,0.8529352317229099,0.014940323950561045,0.8536822474919833,0.8558256862492397,0.590990232496426,4476.007365942001
5,0.8351272489533531,0.01479526846519401,0.83586701099985,0.7747048725341928,0.5862199098899447,5472.606367588043
6,0.8108276282587359,0.014937046247421216,0.8115744798562071,0.938654437661171,0.6053282551724335,6662.192640781403
7,0.802761426042978,0.012815548185601128,0.8034022041497101,0.764183077318915,0.5967614923057885,7273.039644241333
8,0.7809577521408166,0.012192753353907217,0.7815673897787004,0.7663833396188144,0.5869670849421929,7964.330202579498
9,0.7583549184627628,0.013246718988229263,0.7590172534101358,0.7012041339586521,0.5622494585555176,8530.797583580017
10,0.740570596222842,0.015316568019224456,0.7413364224339242,0.7758976436894516,0.5793495173084324,9187.482796430588
11,0.7284291366637493,0.01677112792047762,0.729267694961936,0.6932605227519726,0.5433694663746603,9754.460639715195
12,0.7126367810937962,0.017849364463544955,0.713529248687233,0.6927446090969546,0.5756102646219319,10323.31141090393
13,0.7013192026697969,0.018812534011086963,0.7022598277102629,0.7165104466779478,0.5388056466291691,10894.558745622635
14,0.6929598747944418,0.019985634170324718,0.6939591579046793,0.6668599330145737,0.5596285431549467,11458.648327827454
15,0.6771531074721523,0.02026298428162304,0.6781662559095151,0.7086762965753161,0.6099061986495709,12019.00943851471
