iter,io_loss,lncc,mean_phi_px,mean_error_map_px,err_map_p50_px,err_map_p95_px,err_map_max_px,neg_jac_pct
0,1.1309324502944946,0.31113970279693604,6.412039756774902,0.0,0.0,0.0,0.0,0.0
50,1.0957467555999756,0.32161328196525574,5.694316864013672,4.86821985244751,3.5128676891326904,13.400798797607422,21.722082138061523,0.0
100,1.0870473384857178,0.32579055428504944,5.762567520141602,4.988718509674072,3.6304688453674316,13.511528015136719,21.824735641479492,0.0
150,1.0810339450836182,0.32870161533355713,5.843693733215332,5.070313453674316,3.7118468284606934,13.609726905822754,21.918664932250977,0.0
200,1.076524257659912,0.33084753155708313,5.892038822174072,5.138761520385742,3.782540798187256,13.687309265136719,21.98802947998047,0.0
250,1.0729503631591797,0.3325808644294739,5.937341213226318,5.187613487243652,3.8319106101989746,13.756353378295898,22.04827880859375,0.0
300,1.0701655149459839,0.33382344245910645,5.962619304656982,5.225560188293457,3.885294198989868,13.792806625366211,22.02173614501953,0.0
