iter,io_loss,lncc,mean_phi_px,mean_error_map_px,err_map_p50_px,err_map_p95_px,err_map_max_px,neg_jac_pct
0,1.1890662908554077,0.3029809296131134,6.8376359939575195,0.0,0.0,0.0,0.0,0.0
50,1.1526530981063843,0.31503918766975403,6.230662822723389,5.0521559715271,3.7335052490234375,13.961874008178711,22.051801681518555,0.0
100,1.1437973976135254,0.31950223445892334,6.290933609008789,5.166145324707031,3.8137245178222656,14.067564964294434,22.195512771606445,0.0
150,1.1374729871749878,0.32271870970726013,6.315469741821289,5.24453592300415,3.88203501701355,14.0866060256958,22.053157806396484,0.0
200,1.1327658891677856,0.32524943351745605,6.308043956756592,5.29434061050415,3.944333076477051,14.061454772949219,21.909034729003906,0.0009300595238095239
250,1.1290029287338257,0.32722821831703186,6.361945629119873,5.351158142089844,4.000302314758301,14.136054992675781,21.802494049072266,0.0009300595238095239
300,1.1258881092071533,0.32886555790901184,6.353489875793457,5.371860980987549,4.038199424743652,14.101300239562988,21.77235221862793,0.0009300595238095239
