iter,io_loss,lncc,mean_phi_px,mean_error_map_px,err_map_p50_px,err_map_p95_px,err_map_max_px,neg_jac_pct
0,1.163926362991333,0.3056003451347351,6.699501037597656,0.0,0.0,0.0,0.0,0.0
50,1.1256098747253418,0.318509578704834,6.02127742767334,5.131114959716797,3.6864960193634033,13.85842227935791,21.765180587768555,0.0
100,1.1169769763946533,0.3227425217628479,6.122290134429932,5.212879657745361,3.7502713203430176,13.959324836730957,21.99460792541504,0.0
200,1.106249213218689,0.3280995488166809,6.258502006530762,5.3627848625183105,3.8823535442352295,14.183067321777344,22.273921966552734,0.0
