iter,io_loss,lncc,mean_phi_vox,mean_error_map_vox,err_map_p50_vox,err_map_p95_vox,err_map_max_vox,neg_jac_pct
0,1.155759334564209,0.30203181505203247,7.01225471496582,0.0,0.0,0.0,0.0,0.0
50,1.1160989999771118,0.31415116786956787,6.460689067840576,5.104410648345947,3.552208423614502,14.413371086120605,23.097734451293945,0.0
100,1.106402039527893,0.31858202815055847,6.612329006195068,5.206233501434326,3.6076927185058594,14.591195106506348,23.648733139038086,0.0
150,1.0999342203140259,0.3215688467025757,6.683385848999023,5.281226634979248,3.681330680847168,14.676267623901367,23.734683990478516,0.0
200,1.0951220989227295,0.3237772285938263,6.741903781890869,5.341336727142334,3.7587976455688477,14.69188404083252,23.81631851196289,0.0
250,1.0911846160888672,0.32564982771873474,6.778764247894287,5.38370418548584,3.80806827545166,14.73167896270752,23.82773780822754,0.0
300,1.0879243612289429,0.32715484499931335,6.823897838592529,5.429059028625488,3.8542323112487793,14.786892890930176,23.755002975463867,0.0
