iter,io_loss,lncc,mean_phi_vox,mean_error_map_vox,err_map_p50_vox,err_map_p95_vox,err_map_max_vox,neg_jac_pct
0,1.1800007820129395,0.3033343553543091,6.603126049041748,0.0,0.0,0.0,0.0,0.0
50,1.1418957710266113,0.31484735012054443,5.63992977142334,4.908015727996826,3.6593165397644043,13.208501815795898,21.59918975830078,0.0
100,1.1327738761901855,0.31933602690696716,5.697825908660889,5.001218318939209,3.71230411529541,13.289578437805176,22.017549514770508,0.0
150,1.1263768672943115,0.32237517833709717,5.780996322631836,5.081227779388428,3.774573802947998,13.425811767578125,22.391695022583008,0.0
200,1.1213898658752441,0.32496771216392517,5.820099353790283,5.15964937210083,3.8547427654266357,13.510337829589844,22.558481216430664,0.0009300595238095239
250,1.1176650524139404,0.3268117308616638,5.8487019538879395,5.201539039611816,3.8955790996551514,13.56399154663086,22.53582000732422,0.0009300595238095239
300,1.1147832870483398,0.32817667722702026,5.874688625335693,5.2366228103637695,3.9280495643615723,13.616430282592773,22.622560501098633,0.0009300595238095239
