iter,io_loss,lncc,mean_phi_px,mean_error_map_px,neg_jac_pct
0,0.8713909387588501,0.4456961452960968,7.420806884765625,0.0,0.0
50,0.7111544609069824,0.48479804396629333,9.394551277160645,5.071238994598389,0.0
100,0.6834617257118225,0.49786701798439026,9.605696678161621,5.3605194091796875,0.0
150,0.67010897397995,0.5043373107910156,9.702580451965332,5.497640132904053,0.0
200,0.6615285873413086,0.508238673210144,9.773147583007812,5.5941386222839355,0.039513978069742176
250,0.6554593443870544,0.5110311508178711,9.808329582214355,5.654875755310059,0.07244229312786064
