epoch,loss,train_l1,val_l1,val_mse,val_huber,elapsed_s
33,l1,0.48593598825506600,0.4926722604652930,0.5909935246253840,0.2161236225531020,7175.582495689390
34,l1,0.4829331077266450,0.5004888988774400,0.6326273823606560,0.2244374469436450,7374.598181962970
35,l1,0.4791472822722820,0.5049077683481680,0.5898111688679660,0.22239479782252500,7607.037191390990
36,l1,0.47764856744520700,0.4889788144621360,0.6147199026469530,0.21760889142751700,7788.306936264040
37,l1,0.4736235942875990,0.4820301450532060,0.5612071988911470,0.2067085535361850,7959.944524049760
38,l1,0.47182544859329100,0.47885427084462400,0.5643388731726280,0.20641105904661400,8122.762300729750
39,l1,0.47001734434968200,0.48138881140741800,0.5687023288217090,0.20827519045821600,8286.889046430590
40,l1,0.46327459384309200,0.4829516688297540,0.5599855945028110,0.2082637152795130,8449.785291433330
41,l1,0.4612985102847070,0.4769262692023970,0.5557590558611110,0.2036975650437950,8617.327424049380
42,l1,0.455167745452116,0.482509217385588,0.5590801999486730,0.2067760855987150,8786.55715417862
43,l1,0.45147971351548000,0.49752316906534400,0.6512053454744400,0.2271561463331350,8957.761487483980
44,l1,0.4503894044031010,0.4702902066296550,0.5485932940039140,0.2000188264867360,9134.975938797000
45,l1,0.4454256803682540,0.4850022494792940,0.607666544873139,0.21746389901843600,9309.079305887220
46,l1,0.44066028429730100,0.4702675938606260,0.5546816299701560,0.20133539854452500,9476.71423625946
47,l1,0.43806553344325300,0.476423612956343,0.5333650405036990,0.2013828631105090,9643.748622179030
48,l1,0.42957630340415700,0.4728547591587590,0.5532569782487280,0.20314666782987500,9811.193333625790
49,l1,0.42470990268900800,0.4826184367311410,0.5729794420045000,0.21129972590454700,9984.625200271610
50,l1,0.42155155834585100,0.48480290071717600,0.6073128211087190,0.21672978766005600,10154.233053445800
51,l1,0.398935401351145,0.467453775734737,0.547436990614595,0.20160602444204800,10319.707638979000
52,l1,0.3933553379951140,0.46927211202424100,0.5406944618142890,0.2013262831445400,10484.876340866100
53,l1,0.38719148417510600,0.48514088371704400,0.5861208623853220,0.21510511045825900,10655.04937171940
54,l1,0.38250010571267300,0.47300691029121100,0.5171470056320060,0.197925197667089,10820.875269413000
55,l1,0.3777348245724590,0.46886497016610800,0.5415298979857870,0.20132456283117200,10989.884499073000
56,l1,0.3743342760175760,0.4683384782281420,0.5294438579986840,0.19868603014740500,11160.362749576600
57,l1,0.3676424857118340,0.46543223179619900,0.5166559239913680,0.1963726903857860,11330.81274652480
58,l1,0.36126716449709200,0.46386057652276100,0.5267445316602440,0.19597511995455300,11503.836909294100
59,l1,0.358357904128509,0.47119222941069800,0.5485791091261240,0.20299788256143700,11679.543010950100
60,l1,0.35304897743286500,0.4705597696633180,0.5261319002200820,0.19984363636066200,11844.525233507200
