epoch,loss,train_l1,val_l1,val_mse,val_huber,elapsed_s
1,l1,0.6213419440359170,nan,nan,nan,501.9025046825410
2,l1,0.5903626270223370,nan,nan,nan,695.8991584777830
3,l1,0.5864499468024410,nan,nan,nan,892.4779615402220
4,l1,0.5764706991981750,nan,nan,nan,1051.0379090309100
5,l1,0.5704019431135440,nan,nan,nan,1201.6446478366900
6,l1,0.5655004132797220,0.555290322879265,0.7337948607987370,0.2571066314804140,1402.8056268692000
7,l1,0.556537681286878,0.5736740282897290,0.8800460192663920,0.2867658230765110,1621.8865072727200
8,l1,0.5535594685242910,0.5525053626504440,0.8121570359016290,0.2674806611291290,1848.3026518821700
9,l1,0.5521861369361970,0.5406868971627330,0.7677310797674900,0.2581380836922550,2107.9279034137700
10,l1,0.5466331374822280,0.5415675372912970,0.7240883286657010,0.24748839129661700,2333.8288192749000
11,l1,0.5440188087154140,0.575972581731862,0.7540503935567260,0.26719287397532600,2504.3156821727800
12,l1,0.5413190757874220,0.5445210430128820,0.7205104067407810,0.24957501631358600,2677.2556381225600
13,l1,0.5387896914588340,0.5343284997446780,0.7663098419534750,0.253421095424685,2847.4156692028000
14,l1,0.5360075908132120,0.5285055216016440,0.7417854029556800,0.24899517256638100,3022.9853341579400
15,l1,0.5328185798803180,0.5687708484715430,0.8477779770719590,0.2838139462059940,3279.9445672035200
16,l1,0.5324875108971450,0.5257085818668890,0.718356991636342,0.24524525989746200,3633.074449300770
17,l1,0.5313420308993600,0.5255953854527970,0.6915774273461310,0.23735867286550600,3818.6946547031400
18,l1,0.5271773602407760,0.5365851079595500,0.710069182617911,0.24439762943777500,4005.922878265380
19,l1,0.521695075648846,0.5234011637753450,0.7181167581985740,0.24308707436610900,4189.8651440143600
20,l1,0.5246664682532300,0.5192860734873800,0.687573726834922,0.23617313545325700,4373.594289779660
21,l1,0.5208603580399320,0.5199693184474420,0.6925223551947500,0.2384794287640470,4590.971985578540
22,l1,0.5198709132647750,0.5157080128275110,0.6954201932611140,0.23844896231232000,4826.6307327747300
23,l1,0.5150219886609820,0.5062072616198970,0.6573454624619980,0.2289646594174980,5045.724489927290
24,l1,0.5121919372589280,0.5271463404441700,0.7241241582508750,0.24752432005158800,5262.399274110790
25,l1,0.5102277024842730,0.5195102342243850,0.6625642550402670,0.2359167368247590,5466.4348220825200
26,l1,0.5100793742602410,0.5170249332641730,0.6464009654933010,0.2328310947993710,5674.938772916790
27,l1,0.5036280112396370,0.531028663289958,0.6815279259763910,0.24350082514614900,5858.929567813870
28,l1,0.5030742067806790,0.5516442933986930,0.6598267144170300,0.24915017958345100,6072.418171882630
29,l1,0.49995634299103600,0.5046459631673220,0.6139861561101060,0.2206648300433980,6314.289770126340
30,l1,0.4942467509224860,0.5257043406881140,0.6128221626939450,0.2326446643163420,6559.373152256010
31,l1,0.49238859441610800,0.5062078340300200,0.6843718177285690,0.23293005366777600,6772.464569330220
32,l1,0.488428468013754,0.4939382816183160,0.6110319906267630,0.21650832763005900,6969.526740074160
