epoch,train_mse,train_smooth,train_total,val_mse,val_l1,elapsed_s
1,0.9495635106421934,0.0,0.9495635106421934,0.8033998012542725,0.5988004320654375,412.30584192276
2,0.8633575958780723,0.0,0.8633575958780723,0.8491888888951006,0.6680535612435177,664.7209184169769
3,0.8386085524712459,0.0,0.8386085524712459,3.9263318900404305,1.6566956002136757,921.7133378982544
4,0.822286445020449,0.0,0.822286445020449,0.762317163163218,0.5778700020806543,1171.0569200515747
5,0.8016705760861388,0.0,0.8016705760861388,1.5844357835835423,1.050851480714206,1414.0873630046844
6,0.7864018513424562,0.0,0.7864018513424562,0.7483339402182348,0.5547660301471579,1633.714115858078
7,0.764429467001764,0.0,0.764429467001764,0.7272884948500271,0.5701733827590942,1854.4464061260223
8,0.7543465362326933,0.0,0.7543465362326933,0.7251692290963798,0.5620507330730043,2097.852028131485
9,0.7503564493490917,0.0,0.7503564493490917,0.7838823240378807,0.5925396598618606,2320.2434051036835
10,0.7398077922292275,0.0,0.7398077922292275,0.816535731841778,0.628215687028293,2510.0247836112976
11,0.7304814634936871,0.0,0.7304814634936871,0.7652265830286618,0.6005069695670029,2726.9968609809875
12,0.7249471052448349,0.0,0.7249471052448349,0.7106436583502539,0.5653487104794075,2965.162543773651
13,0.7116805615991649,0.0,0.7116805615991649,0.6954646953221025,0.5668431612952002,3192.7005116939545
14,0.7009441650444919,0.0,0.7009441650444919,0.6846438327739979,0.5438916981220245,3565.6014013290405
15,0.6920233031015585,0.0,0.6920233031015585,0.9209057832586354,0.606210452729258,3761.8856480121613
16,0.6980485377630384,0.0,0.6980485377630384,0.7430324544166697,0.5460436827149885,4003.1235954761505
17,0.6845026668345574,0.0,0.6845026668345574,0.6640462639002964,0.5391899018452085,4200.135195493698
18,0.6715889412282717,0.0,0.6715889412282717,0.7234593033790588,0.6113563221076439,4382.149263858795
19,0.6584820230998615,0.0,0.6584820230998615,0.7329165781366414,0.5652105541064821,4554.809540748596
20,0.6628043530601087,0.0,0.6628043530601087,0.6440480341171396,0.5361677017705194,4722.175433397293
21,0.649100198161484,0.0,0.649100198161484,0.6788548446934799,0.5642309928762501,4902.52645111084
22,0.638179796609548,0.0,0.638179796609548,0.7588361429757086,0.5420917200631109,5062.226733446121
23,0.6286420876731967,0.0,0.6286420876731967,0.6422650526309835,0.5568053557954985,5223.395577430725
24,0.6196165223522941,0.0,0.6196165223522941,0.6608870080832777,0.5298593815030723,5384.400969743729
25,0.6101195464039794,0.0,0.6101195464039794,0.6565321642777016,0.5426477265769037,5545.729992866516
26,0.6059186560387658,0.0,0.6059186560387658,0.6077256069101137,0.5050023835280846,5708.953273534775
27,0.5915348771775123,0.0,0.5915348771775123,0.8487609789289278,0.6658509168131598,5871.850048065186
28,0.5842388216221687,0.0,0.5842388216221687,0.6106213146242602,0.5432718211206896,6033.897756576538
29,0.5758072865186351,0.0,0.5758072865186351,0.5794680570733959,0.5085389737425179,6194.531626462936
30,0.5584617078599363,0.0,0.5584617078599363,0.5980877578258514,0.5349210952890331,6369.641229152679
31,0.5529298184826823,0.0,0.5529298184826823,0.5832997077497942,0.510113217707338,6527.910397529602
32,0.541380728677948,0.0,0.541380728677948,0.636156919701346,0.5666612160616907,6687.90731215477
33,0.5435151046160425,0.0,0.5435151046160425,0.570742976048897,0.5012264138665693,6845.256201267242
34,0.5253212794218913,0.0,0.5253212794218913,0.5808789709518696,0.49054825100405464,7002.9565505981445
35,0.5146280789729392,0.0,0.5146280789729392,0.6740740106023592,0.5633927008201336,7160.737622499466
36,0.5090774744749069,0.0,0.5090774744749069,0.5478817851379,0.49601942711863023,7318.786599636078
37,0.49962048852207636,0.0,0.49962048852207636,0.543907315566622,0.4851450426825162,7477.445953845978
38,0.4924172869708278,0.0,0.4924172869708278,0.5557413234792906,0.4836357955274911,7636.016233921051
39,0.485546083143442,0.0,0.485546083143442,0.5511550666957066,0.4975229049551076,7790.400986194611
40,0.4661028754002977,0.0,0.4661028754002977,0.5407158547434313,0.4769819512449462,7939.138365507126
41,0.45138399966872567,0.0,0.45138399966872567,0.5493495988434759,0.5040957105570826,8090.1077654361725
42,0.44495424753663565,0.0,0.44495424753663565,0.5446374159434746,0.49952880781272363,8240.336485147476
43,0.42937650848733316,0.0,0.42937650848733316,0.5848908958763912,0.5251011550426483,8389.835709095001
44,0.42936453319127016,0.0,0.42936453319127016,0.5176029739708736,0.4691271247534916,8538.651212453842
45,0.41358756893637155,0.0,0.41358756893637155,0.5557197188508922,0.48189782171413814,8686.937606573105
46,0.3970053444551949,0.0,0.3970053444551949,0.5430625512682158,0.48064767081162024,8837.747351408005
47,0.3917726869925414,0.0,0.3917726869925414,0.5240306258201599,0.484635452772009,8985.018545627594
48,0.3711953205932485,0.0,0.3711953205932485,0.538329658837154,0.4943048995116661,9137.010136842728
49,0.3585225422636117,0.0,0.3585225422636117,0.5343764619580631,0.47999420042695673,9291.539909601212
50,0.35631341479792455,0.0,0.35631341479792455,0.5614686844677761,0.47696596178515205,9444.17935180664
